model,task,sub_label,question,answer,response,correct,latency
Qwen2.5-0.5B,Math,easy,"A bakery makes 240 cookies per day. If they sell 75% of them, how many cookies are left unsold?",60,"To determine how many cookies are left unsold after selling 75%, we can follow these steps:

1. Calculate the number of cookies sold:
   \[
   \text{Cookies sold} = 240 \times 0.75 = 180
   \]

2. Subtract the number of cookies sold from the total number of cookies to find out how many are left unsold:
   \[
   \text{Cookies unsold} = 240 - 180 = 60
   \]

Therefore, there are 60 cookies left unsold. The final answer is:
\[
\boxed{60}
\]",True,9.325815916061401
Qwen2.5-0.5B,Math,easy,A train travels at 80 km/h. How far does it travel in 3.5 hours?,280,"To calculate the distance traveled by the train in 3.5 hours at a speed of 80 km/h:

Distance = Speed × Time

Distance = 80 km/h × 3.5 h

Distance = 280 km

Therefore, the train travels 280 kilometers in 3.5 hours.",False,4.210639953613281
Qwen2.5-0.5B,Math,easy,A rectangle has length 15 cm and width 8 cm. What is its area in square cm?,120,"To find the area of a rectangle, you multiply its length by its width. So for this rectangle:

Area = Length × Width
   = 15 cm × 8 cm
   = 120 cm²

Therefore, the area of the rectangle is 120 square centimeters (cm²).",True,4.715155839920044
Qwen2.5-0.5B,Math,easy,"If a shirt costs £45 and is discounted by 20%, what is the sale price in pounds?",36,"To calculate the sale price of the shirt after a 20% discount:

1. First, find 20% of £45:
   \( 20\% \times 45 = 0.20 \times 45 = 9 \)

2. Subtract this amount from the original cost to get the sale price:
   \( 45 - 9 = 36 \)

Therefore, the sale price of the shirt is £36.",True,6.1001434326171875
Qwen2.5-0.5B,Math,easy,A factory produces 1200 units per hour. How many units does it produce in an 8-hour shift?,9600,"To calculate the number of units produced in an 8-hour shift:

1. First, find out how many hours there are in one shift:
   8 hours

2. Then, multiply the hourly production rate by the number of hours in one shift:
   1200 units/hour * 8 hours = 9600 units

Therefore, the factory produces **9600** units in an 8-hour shift.",False,6.254153251647949
Qwen2.5-0.5B,Math,easy,"A store buys apples at £0.30 each and sells them at £0.50 each. If they sell 200 apples, what is the profit in pounds?",40,"To calculate the profit from selling 200 apples:

1. First, find out how much it costs to buy 200 apples:
   Cost = Number of apples × Price per apple
   Cost = 200 × £0.30
   Cost = £60

2. Then, calculate the total revenue from selling 200 apples:
   Revenue = Number of apples × Price per apple
   Revenue = 200 × £0.50
   Revenue = £100

3. Finally, subtract the cost from the revenue to get the profit:
   Profit = Revenue - Cost
   Profit = £100 - £60
   Profit = £40

Therefore, the profit is £40.",True,9.965336084365845
Qwen2.5-0.5B,Math,easy,A car uses 6 litres of fuel per 100 km. How many litres does it need for a 450 km journey?,27,"To calculate the amount of fuel needed for a 450 km journey, we first determine how much fuel is used per kilometer and then multiply that by the distance.

Fuel usage per km = 6 litres

Distance = 450 km

Total fuel needed = Fuel usage per km × Distance
                  = 6 litres × 450 km
                  = 2700 litres

Therefore, the car needs 2700 litres of fuel for a 450 km journey.",False,7.089168548583984
Qwen2.5-0.5B,Math,easy,A worker earns £15 per hour and works 38 hours per week. What is their weekly wage?,570,"To calculate the weekly wage of the worker, we need to multiply the hourly wage by the total number of hours worked in a week.

Weekly Wage = Hourly Wages × Hours Worked Per Week

Substituting the given values:

Weekly Wage = £15/hour × 38 hours/week

Weekly Wage = £570/week

Therefore, the worker's weekly wage is £570.",True,5.411943435668945
Qwen2.5-0.5B,Math,easy,"There are 52 cards in a deck. If 13 are hearts, what percentage are hearts?",25,"To find the percentage of hearts out of 52 cards, you use this formula:

Percentage = (Number of Hearts / Total Number of Cards) x 100

So,

Percentage = (13 / 52) x 100 ≈ 25%

Therefore, 25% of the cards are hearts.",True,4.838337421417236
Qwen2.5-0.5B,Math,easy,A container holds 5 litres. How many 250 ml glasses can be filled from it?,20,"To determine how many 250 milliliters (mL) of liquid can be filled from a container that holds 5 liters, we need to follow these steps:

1. Convert the total volume from liters to milliliters.
   - We know that 1 liter = 1000 milliliters.
   - Therefore, 5 liters = 5 x 1000 mL = 5000 mL.

2. Divide the total volume in milliliters by the capacity of one glass.
   - Each glass holds 250 mL.
   - So, the number of glasses is 5000 mL ÷ 250 mL per glass.

3. Perform the division:
   - \( \frac{5000}{250} = 20 \).

Therefore, you can fill 20 glasses with 5 liters of liquid.",False,12.09763240814209
Qwen2.5-0.5B,Math,medium,Alice has 3 times as many marbles as Bob. Bob has 12 more than Carol. Carol has 8 marbles. How many does Alice have?,60,"Let's solve this problem step by step:

1. We know that Carol has 8 marbles.
   So, we can write it as:
   Carol = 8

2. Bob has 12 more marbles than Carol.
   Therefore, Bob has:
   Bob = Carol + 12
   Bob = 8 + 12
   Bob = 20

3. Alice has 3 times as many marbles as Bob.
   Therefore, Alice has:
   Alice = 3 * Bob
   Alice = 3 * 20
   Alice = 60

So, Alice has 60 marbles.",True,8.570018768310547
Qwen2.5-0.5B,Math,medium,"A bank account earns 5% simple interest per year. If £2000 is deposited, how much interest is earned over 3 years?",300,"To calculate the total interest earned over 3 years with a 5% annual interest rate and an initial deposit of £2000:

1. Calculate the interest for one year:
   Interest = Deposit × Rate
   Interest = £2000 × 5%
   Interest = £2000 × 0.05
   Interest = £100

2. Multiply the yearly interest by the number of years (3):
   Total Interest = Interest × Number of Years
   Total Interest = £100 × 3
   Total Interest = £300

Therefore, £300 is the total interest earned over 3 years.",False,8.999953031539917
Qwen2.5-0.5B,Math,medium,"A pump fills a tank at 40 litres per minute. The tank holds 2400 litres. If the tank is already 25% full, how many minutes to fill it completely?",45,"To determine how long it will take to fill the tank completely, we first need to calculate the total capacity of the tank and then find out how much more water is needed compared to what the pump can provide in one minute.

1. Calculate the total capacity of the tank:
   \[
   \text{Total capacity} = \text{Tank volume} \times \text{Volume filled per minute}
   \]
   Given that the tank holds 2400 liters and the pump fills it at 40 liters per minute,
   \[
   \text{Total capacity} = 2400 \text{ liters}
   \]

2. Determine the amount of water needed to fill the tank:
   Since the tank is already 25% full,
   \[
   \text{Water needed} = \text{Total capacity} \times \text{Percentage filled}
   \]
   Substituting the values,
   \[
   \text{Water needed} = 2400 \text{ liters} \times 0.25
   \]
   \[
   \text{Water needed} = 600 \text{ liters}
   \]

3. Calculate the time required to fill the tank with the given rate:
   \[
   \text{Time (minutes)} = \frac{\text{Water needed}}{\text{Rate}}
   \]
   Substituting the values,",False,22.283607482910156
Qwen2.5-0.5B,Math,medium,A recipe needs 2.5 cups of flour for 12 muffins. How many cups of flour are needed for 30 muffins?,6.25,"To determine how many cups of flour are needed for 30 muffins, we can set up a proportion based on the information given:

Given:
- 2.5 cups of flour per 12 muffins

We want to find out how much flour (x) would be needed for 30 muffins.

First, let's calculate the amount of flour per muffin:
\[ \text{Flour per muffin} = \frac{2.5 \text{ cups}}{12} \]

Next, we'll use this rate to find out how much flour would be needed for 30 muffins:
\[ x = \left(\frac{2.5}{12}\right) \times 30 \]

Let's perform the calculation:
\[ x = \left(\frac{2.5}{12}\right) \times 30 \]
\[ x = \left(\frac{2.5 \times 30}{12}\right) \]
\[ x = \left(\frac{75}{12}\right) \]
\[ x = 6.25 \]

So, 30 muffins would need 6.25 cups of flour. The final answer is 6.25.",True,16.92597198486328
Qwen2.5-0.5B,Math,medium,"A team completes a project in 12 days with 5 workers. If 3 more workers join from day 4, how many total days does the project take? Assume constant daily progress per worker.",7.5,"Let's solve this problem step by step:

1. **Initial Setup:**
   - The team consists of 5 workers.
   - They complete the project in 12 days.

2. **Workers Joining:**
   - 3 more workers join from day 4.
   - This means there are now 8 workers (5 initial + 3 new).

3. **Daily Progress:**
   - We need to find out how long it will take for these 8 workers to complete the same amount of work.

4. **Calculating Total Work Done:**
   - Let \( T \) be the total time taken.
   - Each worker works at a rate of 1/5 of the project per day.
   - Therefore, each worker contributes \( \frac{1}{5} \times T \) of the project per day.

5. **Total Contribution:**
   - With 8 workers working together, they contribute \( 8 \times \frac{1}{5} \times T = \frac{8}{5}T \) of the project per day.

6. **Equation Setup:**
   - Since they finish the entire project (\( \frac{1}{5} \times T \)) in 12 days:
     \[
     \frac{8}{5}T = 12
     \]

7. **Solving for \( T \):**
   - Multiply both sides by \(",False,24.50855827331543
Qwen2.5-0.5B,Math,medium,A shopkeeper bought 50 kg of rice at £1.20 per kg and 30 kg at £1.50 per kg. He mixes them and sells at £1.45 per kg. What is his total profit in pounds?,7.5,"To calculate the profit, we first need to find out how much he spent on the rice and how much he sold.

Cost of rice:
- 50 kg at £1.20/kg = £6.00
- 30 kg at £1.50/kg = £4.50

Total cost = £6.00 + £4.50 = £10.50

Profit = Total selling price - Total cost
= £1.45 × (50 kg + 30 kg)
= £1.45 × 80 kg
= £116

Therefore, the answer is 116 pounds.",False,10.01957392692566
